1.27, 0.89, 0.83
1.25, 0.89, 0.83
1.23, 0.9, 0.83
1.23, 0.9, 0.83
1.21, 0.9, 0.83
1.21, 0.9, 0.83
1.19, 0.9, 0.83
1.18, 0.9, 0.83
1.18, 0.9, 0.83
1.16, 0.9, 0.83
1.16, 0.9, 0.83
1.23, 0.92, 0.84
1.37, 0.95, 0.85
1.37, 0.95, 0.85
1.34, 0.96, 0.85
1.34, 0.96, 0.85
1.32, 0.96, 0.85
1.29, 0.96, 0.86
1.29, 0.96, 0.86
1.35, 0.97, 0.86
1.35, 0.97, 0.86
1.32, 0.97, 0.86
1.29, 0.97, 0.86
1.29, 0.97, 0.86
1.35, 0.99, 0.87
1.35, 0.99, 0.87
1.32, 0.99, 0.87
1.3, 0.99, 0.87
1.3, 0.99, 0.87
1.27, 0.99, 0.87
1.27, 0.99, 0.87
1.33, 1.01, 0.88
1.46, 1.04, 0.89
1.46, 1.04, 0.89
1.43, 1.04, 0.89
1.43, 1.04, 0.89
1.39, 1.04, 0.89
1.36, 1.04, 0.89
1.36, 1.04, 0.89
1.33, 1.04, 0.89
1.33, 1.04, 0.89
1.31, 1.04, 0.89
1.28, 1.04, 0.89
1.28, 1.04, 0.89
1.26, 1.04, 0.89
1.26, 1.04, 0.89
1.24, 1.04, 0.89
1.22, 1.04, 0.89
1.22, 1.04, 0.89
1.12, 1.02, 0.89
1.12, 1.02, 0.89
1.11, 1.02, 0.89
1.18, 1.04, 0.89
1.18, 1.04, 0.89
1.17, 1.04, 0.89
1.17, 1.04, 0.89
1.15, 1.04, 0.9
1.14, 1.03, 0.9
1.14, 1.03, 0.9
1.21, 1.05, 0.9
1.21, 1.05, 0.9
1.19, 1.05, 0.9
1.18, 1.05, 0.9
1.18, 1.05, 0.9
1.24, 1.06, 0.91
1.24, 1.06, 0.91
1.22, 1.06, 0.91
1.21, 1.06, 0.91
1.21, 1.06, 0.91
1.19, 1.06, 0.91
1.19, 1.06, 0.91
1.18, 1.06, 0.91
1.16, 1.06, 0.91
1.16, 1.06, 0.91
1.15, 1.06, 0.91
1.15, 1.06, 0.91
1.14, 1.06, 0.91
1.05, 1.04, 0.91
1.05, 1.04, 0.91
1.28, 1.09, 0.92
1.28, 1.09, 0.92
1.34, 1.1, 0.93
1.31, 1.1, 0.93
1.31, 1.1, 0.93
1.29, 1.1, 0.93
1.29, 1.1, 0.93
1.26, 1.1, 0.93
1.24, 1.1, 0.93
1.24, 1.1, 0.93
1.22, 1.1, 0.93
1.22, 1.1, 0.93
1.21, 1.1, 0.93
1.19, 1.09, 0.93
1.19, 1.09, 0.93
1.25, 1.11, 0.94
1.25, 1.11, 0.94
1.23, 1.11, 0.94
1.22, 1.1, 0.94
1.22, 1.1, 0.94
1.2, 1.1, 0.94
1.2, 1.1, 0.94
1.18, 1.1, 0.94
1.17, 1.1, 0.94
1.17, 1.1, 0.94
1.15, 1.1, 0.94
1.15, 1.1, 0.94
1.14, 1.1, 0.94
1.29, 1.13, 0.95
1.29, 1.13, 0.95
1.27, 1.13, 0.95
1.27, 1.13, 0.95
1.25, 1.12, 0.95
1.23, 1.12, 0.95
1.23, 1.12, 0.95
1.29, 1.14, 0.96
1.29, 1.14, 0.96
1.27, 1.13, 0.96
1.24, 1.13, 0.96
1.24, 1.13, 0.96
1.22, 1.13, 0.96
1.22, 1.13, 0.96
1.29, 1.14, 0.97
1.34, 1.16, 0.97
1.34, 1.16, 0.97
1.4, 1.17, 0.98
1.4, 1.17, 0.98
1.36, 1.17, 0.98
1.34, 1.17, 0.98
1.34, 1.17, 0.98
1.31, 1.16, 0.98
1.31, 1.16, 0.98
1.28, 1.16, 0.98
1.26, 1.16, 0.98
1.26, 1.16, 0.98
1.32, 1.17, 0.98
1.32, 1.17, 0.98
1.29, 1.17, 0.98
1.27, 1.17, 0.98
1.27, 1.17, 0.98
1.25, 1.16, 0.98
1.25, 1.16, 0.98
1.23, 1.16, 0.98
1.21, 1.16, 0.98
1.21, 1.16, 0.98
1.27, 1.17, 0.99
1.27, 1.17, 0.99
1.25, 1.17, 0.99
1.31, 1.18, 0.99
1.31, 1.18, 0.99
1.29, 1.18, 0.99
1.29, 1.18, 0.99
1.26, 1.18, 0.99
1.24, 1.18, 0.99
1.24, 1.18, 0.99
1.22, 1.17, 0.99
1.22, 1.17, 0.99
1.21, 1.17, 0.99
1.19, 1.17, 0.99
1.19, 1.17, 0.99
1.17, 1.16, 0.99
1.17, 1.16, 0.99
1.72, 1.28, 1.03
2.06, 1.36, 1.06
2.06, 1.36, 1.06
2.06, 1.37, 1.06
2.06, 1.37, 1.06
1.97, 1.36, 1.06
1.97, 1.37, 1.07
1.97, 1.37, 1.07
1.9, 1.36, 1.07
1.9, 1.36, 1.07
1.91, 1.38, 1.07
1.83, 1.37, 1.07
1.83, 1.37, 1.07
1.77, 1.36, 1.07
1.77, 1.36, 1.07
1.7, 1.36, 1.07
1.65, 1.35, 1.07
1.65, 1.35, 1.07
1.6, 1.35, 1.07
1.6, 1.35, 1.07
1.55, 1.34, 1.07
1.5, 1.33, 1.07
1.5, 1.33, 1.07
1.46, 1.33, 1.07
1.46, 1.33, 1.07
1.43, 1.32, 1.07
1.31, 1.3, 1.06
1.31, 1.3, 1.06
1.61, 1.36, 1.08
1.61, 1.36, 1.08
1.72, 1.39, 1.09
1.66, 1.38, 1.09
1.66, 1.38, 1.09
1.61, 1.38, 1.09
1.61, 1.38, 1.09
1.56, 1.37, 1.09
1.59, 1.38, 1.09
1.59, 1.38, 1.09
1.52, 1.42, 1.14
1.48, 1.41, 1.14
1.48, 1.41, 1.14
1.44, 1.4, 1.14
1.44, 1.4, 1.14
1.41, 1.4, 1.14
1.37, 1.39, 1.14
1.37, 1.39, 1.14
